player,nationality,position,age,value,games,minutes,goals,assists,xg,xa,npxg,shots_total,passes,tackles,pressures
Denis Bouanga,ga GAB,"FW,DF",24,8000000,26,2042,10,3,9.2,1.9,6.9,76,600,59,513
Moussa Diarra,fr FRA,DF,18,35000,1,90,0,0,0.0,0.0,0.0,0,56,3,15
Vicente Guaita,es ESP,GK,32,4000000,35,3150,0,0,0.0,0.0,0.0,0,1053,0,3
Christopher Trimmel,at AUT,DF,32,55000,32,2863,0,8,0.2,4.7,0.2,5,1549,80,439
Jean Onana,cm CMR,MF,19,5000,1,79,0,0,0.0,0.1,0.0,1,47,1,23
Lys Mousset,fr FRA,FW,23,9000000,30,1240,6,4,4.9,2.5,4.9,35,239,11,296
Wesley Fofana,fr FRA,DF,18,5000000,14,1215,1,0,0.7,0.1,0.7,6,642,28,139
Matthias Zimmermann,de GER,"DF,MF",27,4000000,34,2923,1,2,0.7,1.5,0.7,16,1667,73,433
Marcus Thuram,fr FRA,FW,21,22000000,31,2202,10,8,10.0,6.8,10.0,59,691,24,457
Kerem Demirbay,de GER,MF,26,24000000,25,1573,1,5,2.8,3.8,2.8,30,1214,33,324
Emil Forsberg,se SWE,"MF,FW",27,22000000,22,1141,5,2,4.3,2.7,2.8,24,538,19,262
Pione Sisto,dk DEN,"FW,MF",24,4000000,21,891,2,0,1.9,0.3,1.9,30,445,18,161
Santiago Arias,co COL,DF,27,12000000,14,1076,0,1,0.5,1.1,0.5,6,653,30,124
IĂ±igo PĂ©rez,es ESP,MF,31,47500,22,1082,2,1,1.1,0.7,1.1,19,598,15,192
Valerio Verre,it ITA,"FW,MF",25,3000000,32,1774,3,2,5.6,2.8,4.1,41,709,24,347
Diego Perotti,ar ARG,"FW,MF",31,6000000,21,875,5,3,4.0,2.6,1.0,11,391,17,190
Kevin MĂ¶hwald,de GER,MF,26,2000000,1,74,0,0,0.1,0.0,0.1,5,41,2,18
Gonzalo HiguaĂ­n,ar ARG,FW,31,25000000,32,1866,8,4,9.5,4.3,9.5,75,647,11,300
Solly March,eng ENG,"DF,FW",25,6000000,19,1143,0,1,1.4,0.8,1.4,21,601,26,158
Djibril Sow,ch SUI,MF,22,9000000,29,1746,1,3,1.3,2.5,1.3,21,876,62,497
Ibrahima Sissoko,fr FRA,MF,21,4000000,23,1598,0,1,0.8,1.0,0.8,16,667,50,392
Pere Pons,es ESP,MF,26,3500000,30,1088,1,1,0.2,0.9,0.2,4,378,25,248
Romain Perraud,fr FRA,DF,21,2000000,20,1670,0,1,0.6,1.6,0.6,20,1136,33,287
Miguel Ăngel Guerrero,es ESP,FW,29,1000000,13,790,1,0,2.4,0.6,1.7,13,201,1,129
Antonio Rosati,it ITA,GK,36,20000,1,90,0,0,0.0,0.0,0.0,0,37,0,0
Samuel Di Carmine,it ITA,FW,30,1000000,22,1293,8,0,6.3,0.6,4.8,30,256,3,208
Ben Chilwell,eng ENG,DF,22,40000000,27,2373,3,3,1.0,3.6,1.0,15,1955,51,412
Manuel Schmiedebach,de GER,MF,30,65000,5,179,0,0,0.0,0.0,0.0,0,53,3,58
Patrick Herrmann,de GER,"FW,MF",28,5000000,27,1453,6,6,7.8,5.1,7.8,40,529,29,283
